Rule ID,Severity,Scope,Category,Context,Description,Source File
"BR-COM-10-01","fatal","Common","Other","cac:AdditionalDocumentReference","If the document referenced is a Contract Notice published on TED the ID must follow the scheme defined by the Publications Office: [][][][]/S [][][]-[][][][][][] (cbc:ID = '').","common/sch/04-ESPD-common-other-br.sch"
"BR-COM-10-02","warning","Common","Other","cac:AdditionalDocumentReference","If the document being referenced is a Notice being published on TED, use two description lines ('/cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:Description'). Use the second description line to place therein the temporary number received from TED (cbc:ID = '').","common/sch/04-ESPD-common-other-br.sch"
"BR-COM-10-03","fatal","Common","Other","cac:AdditionalDocumentReference","The type of document being referenced, expressed as a code ('/cac:AdditionalDocumentReference/cbc:DocumentTypeCode') is mandatory (cbc:ID = '').","common/sch/04-ESPD-common-other-br.sch"
"BR-LAED-10","fatal","Response","Specific","cac:TenderingCriterion[ starts-with(cbc:CriterionTypeCode, 'eo-group') ]","Information about the other participants MUST be provided (criteria 'eo-group').","ESPDResponse/sch/05-ESPD-resp-role-br.sch"
"BR-LEAD-10-S10","warning","Response","Specific","espd:QualificationApplicationResponse","The current EO role is 'group-lead', the information about the group ('/cbc:EconomicOperatorGroupName') must be provided.","ESPDResponse/sch/05-ESPD-resp-role-br.sch"
"BR-LEAD-10-S20","fatal","Response","Specific","cac:TenderingCriterion[ starts-with(cbc:CriterionTypeCode, 'relied') ]","Information about all the entities the EO relies on MUST be provided (criteria 'relied').","ESPDResponse/sch/05-ESPD-resp-role-br.sch"
"BR-LEAD-10-S30","fatal","Response","Specific","cac:TenderingCriterion[ starts-with(cbc:CriterionTypeCode, 'subco-ent') ]","Information about all the entities the EO relies on MUST be provided (criteria 'subco-ent').","ESPDResponse/sch/05-ESPD-resp-role-br.sch"
"BR-LOT-10","fatal","Response","Specific","espd:QualificationApplicationResponse","The lot the EO tenders for MUST be provided.","ESPDResponse/sch/05-ESPD-resp-specific-br.sch"
"BR-LOT-40","fatal","Request","Specific","cac:TenderingCriterion[contains(translate('&#127;exg-crim-part&#127;&#127;exg-crim-corrpt&#127;&#127;exg-crim-fraud&#127;&#127;exg-crim-terror&#127;&#127;exg-crim-laund&#127;&#127;exg-crim-traffick&#127;&#127;exg-pmt-bre-tax&#127;&#127;exg-pmt-bre-ssc&#127;&#127;exg-mis-bre-env-law&#127;&#127;exg-mis-bre-soc-law&#127;&#127;exg-mis-bre-lab-law&#127;&#127;exg-sitn-bankr&#127;&#127;exg-sitn-insolvency&#127;&#127;exg-sitn-cred-arran&#127;&#127;exg-sitn-other&#127;&#127;exg-sitn-liq-admin&#127;&#127;exg-sitn-as-susp&#127;&#127;exg-mis-misconduct&#127;&#127;exg-mis-distortion&#127;&#127;exg-mis-partic-confl&#127;&#127;exg-mis-prep-confl&#127;&#127;exg-mis-sanction&#127;&#127;exg-mis-misrepresent&#127;&#127;exg-natl-bre-nat-law&#127;','ABCDEFGHIJKLMNOPQRSTUVWXYZ','abcdefghijklmnopqrstuvwxyz'),concat('&#127;',translate(cbc:CriterionTypeCode,'ABCDEFGHIJKLMNOPQRSTUVWXYZ','abcdefghijklmnopqrstuvwxyz'),'&#127;'))]","Lots apply only to Selection Criteria. Exclusion Criteria cannot have Lot associated.","ESPDRequest/sch/05-ESPD-req-specific-br.sch"
"BR-LOT-41","fatal","Request","Specific","cac:TenderingCriterion[contains(translate('&#127;slc-suit-reg-prof&#127;&#127;slc-suit-reg-trade&#127;&#127;slc-suit-auth-mbrshp&#127;&#127;slc-suit-auth-mbrshp&#127;&#127;slc-stand-to-gen&#127;&#127;slc-stand-to-avg&#127;&#127;slc-stand-to-spec-avg&#127;&#127;slc-stand-to-spec&#127;&#127;slc-stand-ratio&#127;&#127;slc-stand-ins&#127;&#127;slc-stand-other&#127;&#127;slc-abil-ref-work&#127;&#127;slc-abil-ref-supply&#127;&#127;slc-abil-ref-services&#127;&#127;slc-abil-staff-tech-ctrl&#127;&#127;slc-abil-staff-tech-work&#127;&#127;slc-abil-mgmt-qual&#127;&#127;slc-abil-facil-res&#127;&#127;slc-abil-mgmt-supply&#127;&#127;slc-abil-staff-qual&#127;&#127;slc-abil-mgmt-env&#127;&#127;slc-abil-facil-tools&#127;&#127;slc-abil-check&#127;&#127;slc-abil-staff-yrly-no-mgmt&#127;&#127;slc-abil-staff-yrly-avg-mp&#127;&#127;slc-abil-subc&#127;&#127;slc-abil-qual-smp-wo-autent&#127;&#127;slc-abil-qual-smp-w-autent&#127;&#127;slc-abil-qual-inst&#127;&#127;slc-sche-qu-cert-indep&#127;&#127;slc-sche-env-cert-indep&#127;','ABCDEFGHIJKLMNOPQRSTUVWXYZ','abcdefghijklmnopqrstuvwxyz'),concat('&#127;',translate(cbc:CriterionTypeCode,'ABCDEFGHIJKLMNOPQRSTUVWXYZ','abcdefghijklmnopqrstuvwxyz'),'&#127;'))]","All Selection Criteria must have associated LOT.","ESPDRequest/sch/05-ESPD-req-specific-br.sch"
